start	end	text
0	1000	"' 7 | [avs fend <4 Cypher Y (32 [2 498 Manzanita Ct. - Ventura, CA 93001 April 30, 2001 Hi Dan Jon (Cypher) and I look forward to seeing you on Friday at 3:30pm in your office. Jon, you probably recall, is an actor who starred on ""Hillstreet Blues"" and ""Major Dan,"" among many other TV shows, Broadway (wish you could hear him sing ''The Impossible Dream"" which he sang on Broadway in La Mancha), and movies. He's aJso a scholar (and sings opera in four languages), and speaks eloquently about space. We've been married for fifteen years. Since I closed down the In stitute for Security and Cooperation in Outer Space a few years ago, which I founded in '83, we've both been searching for our role in promoting the space program. As you know, I was spokesperson for von Braun during the last years of his life. He had commit to finding the path to open the doors to space... with his full and unlimited vision. I think I've found a way to do it. We're bringing you a package that will give you the idea. (Don't worry, it won't cost you or NASA a dime.) And we'll only take as much time as you want... even just a few - short minutes as I know how busy you are. But it's going to be worth this trip to hand this to you in person. Also, we'd love to take you (and yours) to lunch or dinner during the week we'll be in My best, Carol Rosin Cell 805-340-5121 Rosin@west.net PS. The photo was taken at the US Space Foundation where we were keynote speakers. FUELS - | 4 DAW- As Fro 5ED, HEZE| | 43 THE Fite&wat- CEMETA KEPORT- | Mev wre aor me MAAE By Your FORMAL CoONTERPART Avo a | 4/187 OF Cod/ritjavites ON PS. | | DZD AVSSPoKweE -- 17 15 freAre -| | WOT GOVERNNEM-- KE FORT | He GUAiry Ava SBE2 WATU OF WE Ptte AAU rs Fret, TWhwk, HECANMEVDS 47 72 Ya) | ences Alte (NCLVDED FOL | Vove Fe@usAt.. Or) [7423 ©F | THe LARGE DecvHEZv> WE AV | Vou is A SUMP EY OF TRE REPb 17 TALLUDEDP 7] | Tot) CAllattren!'s TE ST tty, usizay Me SP PPORTING DOCUMELTAT ION | ps on PER. Bre 42 Rarme Cometh AT AIFS Gry EDr/TEAN TewAe AitPoke -ENVRIGOE FOB Eac. '¢3 Ow CrO8- (LEASE READ THRE EM""12E RAPAR SECII DY Fito ry Pé2 For Reservations Cal] 1-800-HOTE] S] -;;::- f!TLu.f~J 77-f/,,Jtc. 0,C l#JMl..e:r5 1 ' 77fC;2_t3-',4-t2£,f,/JD/Ze --rH'JMfr.> 'Ttl.Jl >(_,,...... r1ffel/&rJ /r/V.D ~ 77MJ,JMe-.D(V~A-Mf:3...D t:9r /,/Vyl)vl'l $/;~!> O f-'H'/, 'fH'A'rlk/,%;1'7~ ""Ft'fl- ~ AI.G- v:5 A-,,JD Ir 7Jrtf!Z£ 1trz£!vvrf-5-77i>,J,r- ~ Ci'J..J,{2.Sf: eA-,_"
1000	2000	"L -r).1,£ /?£r,);:11 $.$A~ A--r q91 q '0 ll(u/, 2-oz g'i9-f@~- For Reservations Call 1-800-HOT ELS 1 I ·What Should We Prepare For? I -An independent report on UFOs written by the French association COMETA. This report details the results of a study by the Institute of I Higher Studies for National Defence.- I This paper originally appeared in a special issue of the magazine VSD I published in France in July 1999. I UFOs and Defense I --The COMETA Report-- r- I ""Stripping the UFO phenomenon ofits irralional layer"" I Foreword by Professor Andre Lebeau, Former chairman of the Centre National d'Etudes Spatiales I (CNES) (French National Center for Space Studies] It is not looked on highly in certain scientific circles to be preoccupied with phenomena that are deemed to come under the heading of popular mythology or that are, at any rate, I outside the realm ofscience. Such was the case with stones falling from the sky, which was long considered in our country to be the stuff offable. However, the day that a meteorite shower over the town ofLaigle permitted a collective and indisputable I observation, it entered into the domain of science. One century later NASA, no doubt hastily, elevated these stones to proof ofthe existence of primitive life on Mars. _Phenomena ofthis type pose a preliminary problem for the scientific approach: does a I scientific fact exist? - When the phenomenon is a matter ofexperimentation, the criterion to be used is simple~ the reproducibility of the experiment is the touchstone and furnishes the fact that must I then be interpreted. But the situation is more difficult when the phenomenon is not open to experimentation, when repeated observation is the only basis on which one can go, as is the case in astronomy and for the most part in geophysics. However, when the fact, albeit I rare, is collectively and indisputably visible, it is easy to elevate it to the status ofscientific object. The existence ofeclipses, comets, and novas has been recognized_since ancient times,._even though their interpretation long contained - and sometimes still contains - a role as I religious dimension. Thus collective and simultaneous observation plays the same the reproducibility ofexperiments. This is not true when the event is not only rare but discrete as well, and when there is a I very small amount ofevidence at each occurrence, which opens the door to various suspicions. Unidentified flying objects, or UFOs, fall into this category. One runs up against additional difficulties in the case of UFOs, firstly that of how many human I activities, especially since the beginning of the space age, have generated atmospheric phenomena the origin ofwhich is not immediately ascertainable by those"
2000	3000	who observe them. In any case, UFOs, the origin ofwhich cannot be attributed to either a human I source or a natural mechanism that has been identified by science, are mixed in with a background noise the origin ofwhich, although difficult to identify, is not at all mysterious. I Moreover, and above all, the existence ofunexplained manifestations, both in the atmosphere and occasionally on the surface of the earth, inevitably gives rise to a fundamental question: are we alone in the universe? Could some ofthese phenomena be I the work ofextraterrestrial beings? This question gives the UFO issue a sociological, ous dimension in a domain that is not that ofscience and media-related, and even religi scientific methods. And it is the very existence ofthis dimension that elicits reactions of I rejection in the scientific community. However, a dispassionate examination of the situation should lead those who believe in I the value ofscientific method to consider that the very existence ofa strong irrational environment is anoth er reason to apply the precepts of this method to the issue ofUFOs. COMET A has tried its luck at this in the report that it is presenting, supported, namely, I by the work performed by GEPAN, which later became SEPRA. The significant place granted to sightings, to testimonies, and to the analysis ofcases that have been explained I shows the major role played here by the establishment offacts. But we also find in this I Chronology Page 80 Appendix 7 Reflections on Various Psychological, Sociological, I and Political Aspects ofthe UFO Phenomenon Pa I REFERENCES Page 87 GLOSSARY Page 90 I The photo section from pages 43 to 50, as well as pages 2 and 91, were not part of the initial report. I Publication of: [G.S. Presse Communication logo] 79-83, rue Baudin, 92309 Levallois-Perret Cedex.01 55 21 00 50, fax: 01 55 21 00 55. Societe anonyme with FF 250,000 in capital, in business I for 99 years. Sole Chief Executive Officer: Daniel Denis. Publication Director: Daniel Denis. Art Director: Richard Y otis. Editorial Assistant: Jacques Peron. Illustrations and Technical Consulting: Bernard Thouanel. Editorial Dept. 01 55 21 00 50. E-mail: I vsd_hs@worldnet.fr. Public Relations Agent: Image7/Isabelle de Segonzac 01 44 15 93 94. Sales and restocking: MEP, 01 42 56 12 26, I UFOs AND DEFENSE What should we prepare for? COtviETA, an association governed by the Law ofJuly 1, 1901. I All reproduction, in whole or in part, translation, and adaptation rights reserved for all countries. Copyright 1999. terminal ELL. Photoengraving: Key Graphic. Printing: Berger Levrault, 34, avenue du I Roule, 92220 Neuily-sur-Seine. Joint Appeals Board No.: 59521. ISSN 1278-916 X. Copyright deposit: July 1999. © G.S. Presse Communication. The editorial
3000	4000	"department is not responsible for the loss of I or damage to texts or photos that are sent to it for consideratio n. Reproduction in whole or in part ofany material published in the magazine is prohibited. Photo taken on September 4, 1971, directly over the Tilaran range in Central America by an airplane from the National Geographic Institute ofCosta Rica (Bernard Thouanel I collection).,, ""Concrete problems are raised that call for a response in terms ofaction"" by General Bernard Norlain, I Former director of the lnstitut des Hautes Etudes de Defense Nation ale (Institute for Advanced National Defense Studies I (IBEDN)] When General Letty visited me in March I995 at my office at IHEDN to explain to me his project for creating a new committee for study of UFOs, I assured him ofmy interest and referred him to the management ofthe IHEDN Auditors Association (AA), which - I gave him its support. Knowing that some twenty years earlier the AA had produced and published a preliminary report on the subject in its bulletin, it was but time to update it. Denis Letty seemed to me to be the perfect one to spearhead this task~ one month I earlier, in February, he had organized, within the framework ofthe Ecole de l' Air [Air Force Academy] Alumni Association, a conference on unidentified aerospace phenomena. Before a large public, some ofour comrades, former pilots, spontaneous ly related their I encounters with UFOs. The person in charge ofstudying these phenomena at the CNES then presented his results, and a well-known astronomer described a scientifically I acceptable version ofthe extraterrestrial hypothesis. The fields ofknowledge affected by the UFO phenomenon are very diverse, and General Letty was able to find within the AA, but on the outside as well, numerous I experts whose efforts h~ coordinated. The list of high-level civilian and military degrees ofthe members ofhis committee is very impressive: officers, engineers, and specialists in physics, life sciences, and social sciences were able to deal with all aspects ofthe study. I This is not a purely academic study. Concrete problems are raised, and not only for civilian and military pilots, that call for a response in tenns of action. The makeup of I COMETA [Committee for In-Depth Studies], which is the name ofthe committee, took these into account. Almost all ofits members have, or had during the course oftheir careers, important responsibilities in defense, industry, teaching, research or various I central administrations. I express the wish that the recommendations ofCOMETA, which are inspired by good I sense, will be examined and implemented by the authoritie s ofour country. The first report of the AA favored the creation within CNES of the only civilian government"
4000	5000	"agency known in the world dedicated to the study ofUFOs. May this new report, which is much more in-depth, give new impetus to our national efforts and to indispensable international cooperation. IHEDN will then have well served the nation and, perhaps, humanity. ""Consider all oftile hypotheses"" I by Denis Letty, I Air Force General, 2nd Section, AA (35) The accumulation ofwell-documented sightings made by credible witnesses forces us to consider from now on all of the hypotheses regarding the origin ofunidentifiedflying I objects, or UFOs, and the extraterrestrial hypothesis, in particular. UFOs are now a part ofour media environment; the films, television broadcasts, books, advertisements, etc., dealing with UFOs amply demonstrate this. I Although no characterized threat has been perceived to date in France, it seemed necessary to the former auditors of the Institut des Hautes Etudes de Defense Nationale (IHEDN) to take stock ofthe subject. Along with qualified experts from extremely varied I backgrounds, they are grouped together to forrn a private in-depth fact-finding committee, which was christened COMETA. I This committee was transformed into a COMETA association, which I chair. I would like to thank General Bernard Norlain, former director ofIHEDN, and Mr. Andre Lebeau, former chairman ofthe Centre National d'Etudes Spatiales, without whom COMETA I would not have been born. In addition, I wish to acknowledge the various people who agreed to give their I testimony or to contribute to this study, and namely: Jean-Jacques Velasco, Head ofSEPRA at CNES,,, Fran~ois Louange, ChiefExecutive Officer ofFlex.image, Jean-Charles Duboc, Jean-Pierre Fartek, Rene Giraud, civilian and military pilots, Edmond Campagnac, former technical director ofAir France at Antananarivo, I Michel Perrier, Squadron Commander, Gendannerie Nationale M. Soun, ofthe Direction Generale de!'Aviation Civile [Civil Aviation Agency] on delegate general. I Joseph Domange, Air Force General, Auditors Associati I must also thank the commander ofthe Afr Force Air Operations Command Center for I its participation during the investigation into flight AF 3532 on January 28, 1994. Among the members ofCOMETA who spared no effort for close to three years, it is possible for me to list: I Michel Algrin, State Doctor ofPolitical Science, attorney-at -law, AA (35), (1) Pierre Bescond, Weapons Engineer General, 2nd Section, AA (48), of Police, Police Nationale, Ministry ofthe Interior, Denis Blancher, Chief I Jean Dunglas, Doctor of Engineering (Ret.), in Water and Foredtry Management AR (48) Bruno Le Moine, Air Force General, 2nd Section, AA (41 ), I Fran~oise Lepine, Fondation pour Jes Etudes de Defense [Foundation for Defense Studies], AA (33), Christian Marchal, Chief Mining Engineer, Research Director at ONERA I (National Aerospace Study and Research Office), Marc Merlo, Admiral, 2nd Section, AA (35), I Alain Orszag, Doctor ofPhysical Sciences, Weapons Engineer General, 2nd Section. (/): AA"
5000	6000	or AR xx: auditor of national or regional promotion no. xx. I INTRODUCTION In 1976, a committee ofthe Institut des Hautes Etudes de Defense Nationale (IHEDN) I chaired by General Blanchard1 ofthe Gendarmerie Nationale1 opened the unidentified flying objects file. The objective: to make proposals for organizing research and the I collection ofdata on these phenomena. The-goal was achieved, because the recommendations ofthis cornm.ittee were followed b, the creation of the Groupe d'Etude des Phenomenes Aerospatiaux Non Identifies (GEPAN) [Unidentified Aerospace I Phenomena Study Group], the precursor to the current Service d'Expertise des Phenomenes de Rentree Atmospherique (SEPRA) [Atmospheric Reentry Phenomena Consulting Department], a division of the Centre National d'Etudes Spatiales (CNES), 1. which is in charge ofthis file. Twenty years later, it seemed useful to us to take stock once again ofthe knowledge regarding these sightings, which are becoming ofgreater and greate r interest to a large public that is often convinced ofthe extraterrestrial origin of I UFOs. Just look at the number offilms or television broadcasts on this subject. For the sake ofconvenience with respect to language, we will use the term UFO (Unidentified Flying Object) generally instead ofthe more scientific term UAP 1 I (Unidentified Aerospace Phenomenon). Without a doubt, the phenomenon remains and the number ofsightings, which are completely unexplained despite the abundance and quality ofdata, is growing throughout I the world. On the ground, some sightings, like the Trans-en-Provence sighting in 1981, have been the subject ofin-depth studies proving that something did in fact land on the ground and parked there. Civilian and military pilots have provided gripping visual I testimonies, often corroborated by radar recordings, as was the case recently in France. In view ofthe lack ofirrefutable proof regarding the origin of these phenomena, the need for understanding persists. e We will devote the first part ofthis report to several particularly remarkable French and foreign cases. In the second part, after having recalled the current organization of the research on I these phenomena in France and abroad, we will evaluate the work being done by scientists as we will see, partial worldwide who are interested in UFOs and are proposing, explanations that are based on known laws ofphysics. I Some ofthese (propulsion systems, non lethal weapons, etc.) could become realities in the short, medium and long term. We will review the principal global explanations proposed, focusing on those that are in keeping with the current scientific data, which range from secret weapons to extraterrestrial manifestations. The UFO phenomenon involves defense in the broad sense and calls for a certain number of measures, which we will examine in the last part: - [providing] civilian and military pilots with sufficient information to teach them an adapted
6000	7000	"conduct when faced with these phenomena and, more generally, [providing] the public and decision-makers with information, - developing the actions ofSEPRA and promoting supplemental scientific monitoring, or even research, actions, - considering the strategic, political, and religious consequences ofa possible confirmation ofthe extraterr estrial hypothesis, the bizarre connotat ion of which it is advisable to eliminate here and now. PART I Facts and Testimonies I Before going further, it seems worthwhile to us to present several facts and testimonies that in themselves justify the interest ofthe in-depth study that we are going to develop below: I - three testimonies ofFrench civilian and military pilots who encountered UFOs in flight, - five major aeronautical cases in the world, - three sightings frQm the ground, I - four cases ofclose encounters in France. These few examples are among the hundreds ofremarkable, that is to say credible and well-documented, cases observed around the world in recent decades. None ofthese I cases has been explained, whereas the majority ohimes the investigations enable the origin ofthe phenomena observed by the witnesses to be determined; we will give two significant I examples of this. I Chapter 1 - Testimonies of French Pilots Three French pilots who encountered UFOs in flight came to testify before the committee. Their testimonies are all the more interesting because they can be eva1uated I better than other aerial phenomena since they pertain to the aeronautic world. I 1.1 M. Giraud, Mirage IV pilot (March 7, 1977). The sequence of events ofthis incident was reconstructed from radio exchanges between the pilot and the controller, which are routinely recorded and kept for a specific I period oftime in accordance with the procedure in force at all control centers. The incident occurred on March 7, 1977, at around 2100 hours local time during the Dijon flyover when the Mirage IV was returning, the automatic pilot engaged, to Luxeuil after a I night mission. [The aircraft was] at an altitude of9600 m and flying at a speed of""Mach 0.9."" The flight conditions were very good. The pilot (P), Herve Giraud, and his navigator (N) observed a very bright glow at ""3 o'clock"" (time code) from their aircraft, I at the same altitude, coming on a collision course and approaching very rapidly. We will designate it ""assailant"" (A1) in the rest of the account. P queried the Contrexeville military radar station that controlled them to ask whether they had a radar contact on the I aircraft coming towards them. In fact, P and N thought that it was an air defense interceptor, as is currently being used, that was seeking to intercept their aircraft to then identify it with its identification beacon. I The radar controller"
7000	8000	"(C), who did not have a corresponding radar contact on his scope, to check their oxygen. This request on the gave a negative response and asked the pilots I part ofthe controller is a standard emergency procedure; it shows that the controller is so surprised by the crew's question that he suspects an oxygen problem capable ofcausing a ""hallucination."" I ""Assailant A I"" maintained its course towards the Mirage IV. P initiated a bank to the right toward A 1, a bank which he was forced to keep tightening (3 to 4 g) in order to try to maintain visual contact on A I and to keep it from positioning itself to the rear. Despite I this maneuver, A I moved behind the Mirage IV at an estimated distance of 1500 m. At this point P reversed his bank to regain visual contact on A 1. He saw the glow move away to ""11 o'clock."" He resumed course to Luxeuil. But 45 seconds after he resumed I course to Luxeuil, feeling like he was being ""watched"" according to his own words, P told N, ""you wait and see, it's going to come back."" And in fact, an identical glow, which we will call A2, appeared at ""3 o'clock."" I P then initiated a very tight bank (6.5 g) to disengage his aircraft from what he now considered to be a real threat. The glow followed the Mirage!Y's maneuver in order to position itselfto the rear at an estimated distance of2000 m. P reversed, as before, and I once again saw the glow disappear under the same conditions. C still did not have a radar. ' contact on ""assailant A2."" P and N continued their flight and returned nonnally to the Luxeuil base. I Those are the facts. Two points should be emphasized::!. - only a combat aircraft could have had performance comparable to that of A 1 and A2 (speed, maneuverability). In this case, C would have had a radar contact on this aircraft, I especially at that altitude, a contac t that he would have seen all the better since there was no other traffic in the vicinity ofthe Mirage lY. - - given the apparent maneuvers of Al and A2, regardless ofwhether or not they were I the same craft, their speed could only be supersonic, which, in the case ofcombat aircraft, would be manifested on the ground by a very loud sonic boom due to the phenomenon of the focusing of the shock wave generated by the bank. Th.is would have been noticed in I the surrounding area, especially since it was nighttime. But no sound was heard in the region. I 1.2 Testimony ofa Fighter Pilot"
8000	9000	(March 3, 1976) I Since this pilot (P) wanted to preserve his anonymity, the following lines are extracted from the written deposition that he wished to send to us (he revealed his name subsequently~ he is Colonel Claude Bose). On March 3, 1976, P, then a student pilot at I the Combat Flight School at Tours, was making a solo night flight in a T-33 training aircraft. The mission consisted of navigating at an altitude of6000 m following a Rennes­ Nantes-Poitiers itinerary, then landing at Tours. Several aircraft were following the same I itinerary at 5-minute intervals. The night was dark but cloudless, and the towns could be detected very clearly at the flight altitude in question. Visibility was greater than 100 km. While he was flying stabilized at an altitude of6000 m, at a speed of460 km/h, P first saw I straight ahead, very far off in the distance (at the detection limit oflights on the ground) at he at first thought was the launching ofa green signaling flare. In 1 to 2 seconds, this flare exceeded the altitude ofhis aircraft by 1500 m and seemed I to level off in space before descending in his direction. It approached at a dizzying speed on a collision course with the aircraft and filled the entire front windshield of the cockpit. Th.inking that impact was inevitable, P let go of the joystick and crossed his arms in front I of his face in a reflex protection gesture. The aircraft was completely enveloped in a very bright and phosphorescent green light. P saw a sphere (S) that avoided his aircraft at the I I very last moment and passed over his right wing grazing it, all within a fraction ofa second. P retained the following memory ofthis incident: I - S was not very large ( l to 2 m in diameter), - S was extended by a tail, which was comparable to that on a comet, that was also a fluorescent green color, I - the center ofS consisted ofa very bright white light (magnesium-fire type), - the sighting lasted a total ofless than 5 seconds. P, who was very shocked by this phenomenon, informed the radar controller (-)!I ensuring the control of the mission on the ground; the controller had not detected anything on his radar scope. Upon return, two other pilots who had followed the same itinerary as I P stated that they had seen the phenomenon, but from a distance. I 1.3 Air France Flight AF 3532 (January 28, 1994) Jean-Charles Duboc (P), captain ofAir France flight AF 3532, was assisted by Copilot Valerie Chauffour (CP) in making the Nice-London connection on January 28, 1994. At I 1314
9000	10000	"hours, while they were cruising at an altitude of 11,900 m in the vicinity of Coulommiers in Seine-et-Mame [Department] under excellent meteorological conditions, the chief steward, who was present in the cockpit at the time, pointed out a phenomenon I that appeared to him to be a weather balloon. His sighting was immediately confinned by the copilot. P, who in tum saw it, first thought that it was an aircraft banking at a 45° angle. Very quickly, however, all three agreed that what they were seeing did not I resemble anything that they knew of The excellent visibility and the presence of altocumulus clouds permitted P to estimate that the phenomenon was at an altitude of l 0,500 m and at a distance ofapproximately 50 km. Taking into account its apparent I diameter, they deduced that the craft was large. They were struck by the changes in the shape ofthe craft, which first appeared in the form ofa brown bell before transforrning into a chestnut brown lens shape, then disappearing almost instantaneously on the left side I ofthe aircraft, as ifit had suddenly become invisible. P reported to the Reims Air Navigation Control Center, which had no information on any mobile air presence in the vicinity. However, following the existing procedure, Reims informed the Tavemy Air I Defense Operations Center (CODA) ofthe sighting made by the crew and asked P to follow the ""Airmiss"" procedure upon landing. CODA did in fact record a radar track initiated by the Cinq-Mars-la-Pile control center I at the same time that corresponded in location and time to the phenomenon observed. This radar track, which was recorded for 50 seconds, did cross the trajectory offlight AF 3532 and did not correspond to any flight plan filed. It should be noted that the phenomen I on disappeared from the view ofthe crew and the radar scopes at the same instant. The investigations conducted by CODA enabled both the hypothesis ofa weather balloon to be ruled out and the precise crossing distance ofthe two trajectories to be I determined, consequent ly bringing the approximate length ofthe craft to 250 min length. It should be noted that the Northern Regional Air Navigation Center (CRNA), which handles 3000 movements per day, has investigated only three cases over the last seven I years, one ofwhich was that offlight AF 3532. I Chapter 2 - Aeronautic Cases Throughout the World It is appropriate to specify that those cases that have been sighted from aircraft are considered to be aeronautic cases. This chapter describes five significant cases that occurred in different parts of the world and which were the subject ofan investigation by I the authorities ofthe countries in question. In four"
