start	end	text
0	1000	"2 = is ao © s o m @ ': on == + D>. (PRD gitetire --= - oa === 3 mM = g €/ 2 - ta 3 ---_ 0 = FROM OR ADDED TOTHS FILO TS cao | --- » gs 2 2 | So oe oo >) od == £H | 2; { ios 0! | CD -- & O if - 8 | BS wo| & -- S wo A S ------ === ve & OG i.3 --_-_ Gee w m T é3 A BUREAU Curitige FOR = pe. fac 3 i = cn en * a 1D am > =e us a ae ie * (a. Comat 3: | | © ay mee 2 7/22 Lb mJ i Boaters CO tg |"" | eet FOR © L____""} 'DO NOT \ | Pi t FOPA# _2ez0¢7 4 Transfer-Call 421 ' 1643584 fUG l,.~,.:11 PM EST t - WED FB/sAVANNAH 8-9-52 6 - 46 fu;c;oR, FBI URGENT e~~ ~ FLYING SAUCERS, SAVANNAH RIVER PLANT, AEC. SECURITY OFFICE OF AEC 4-_ ADVISED THIS DATE THAT TWO EMPLOYEES OF THE E. I. DU PONT COMPANY SAw A BLUE LIGHT WITH AN ORANGE FRINGE SHAPED LIKE A SAUCER FLY OVER THE FOUR HUNDRED AREA OF THE SAVANNAH RIVER PLANT AT APPROXIMATELY NINE THIRTY PM AUGUST EIGHT, FIFTYTWO. OBJECT FLYING AT A HIGH RATE ees August ll, 1952 ir. Edmond J. ane Mauston, Wisconsin Dear Mr. Aane: Your letter dated August 1, 1952, has been recétuved, dnd I apprectate the interest which prompted your bringing your observations to my attention. inasmuch as the matter of the flying saucers is being tnvestigated by the United States Air Force, £ am taking the liberty of forwarding a copy of your letter to the Director of Ssecial Inve tigatt tons, fhe Inspector, Genénal,i Déparment.cof the Arm Force, The Pent tag Jon, Washingtom, De Ce Lf you have jurtier observations lead. this line, 1 would suggest that you may wish to communteate directly with him, Copy by form to Air Force Intelligence. \\ NOTE: Special Agent Samuel Hardy, EOD 3-28-25, GS-12, #0760, assigned to Minneapolis. xe Teison Special Agent Clinton W. Stein, «0D @-6-31, GS-15, ake $10,000, assigned Division Il as inspect ery Wicho lo Bélzont RAD: grémfo_) eu TM Mauston,,Jisconain, 1 August 195'2 Mr. J. Edgar Hoover, Director FBI Washington, D. C. As a retired member of the St Paul Pol ice Force and having had numerous pleasant contacts with Agent Clintonste.in and Samy Har4Y, I take the liberty of an opinionthat came to me that th~flying saucers scare seems possible that the rel~se..d.. enfil'gLQ~oded A1⁄2?mic Bombs could be soaring around in the atmosphere. I know you can channel this thought to """"tlre prupet"
1000	2000	"atrbhoritt~and cer­ tainly would appreciate your comments on this thouiht. I am a Veteran of both ·.:orld War #1 and #2 and also a member of the American Legion for 32 years. I am presently a member of The American Legion Post #81 of Mauston,.iisconsin which is known as the Burton-Koppang Post. If this thought is instrumental in tracking down the source of this scare thereby releaving some of the tension to our American Country, it may be worth following up at this time. Thanking you very much for your cooperation and consideration in· this matter and will you please acknowledge and advise your can­ ments. Yours very truly,./__ iJ~i.t{,:,_,,.~ Edmond J. Kane Ii:.,,J Hauston, v-Jisconsin J;O.~~: Personal file ""ai agrisnr at 1d30 > L i G3if'\4 iy, Wd rd 3 a sino un August l2, 1952 Mrs, Ora AY Tygrett c/o Lou Merlaw Farn Rural Route No. 1 New Palestine, Indiana Dear Mrs. Tygrett: <-, addressed to the vestigation, has been four letter dated July 31, 195 War Department, c/o Federal Bureau of In recetved. Your interest in furnishing your observation in this regard is apprecisted,. In view of the contents of your communication which also appear to be of interest to the Department o/ the Air Force, I have taken the liberty of furnishing that Agency @ copy of your letter. August 13, 1952 Washington 25, De Ceo Subject: FLYING DISKS There its attached a Photostat of a sel/ explanatory letter dated August 5, 1952, at Pontiac, Michigan, received by this Sureau from Mr. We He Jennings, 3096 Hazelmary, Zone 17, Pontiac, Michigan, relating to the captioned matter. Mr. Jennings' letter has been acknowledged and he has been informed that a copy of his letter has been furnished to your office for appropriate attention. No further action is contemplated in this matter by this Bureau. There is no record identifiable wi th JeTmings in the files of the Bureau August 13, 1952 Department of the Atr force _Federal Bureau of Investigation Subdjeet: FLYING DISKS There is attached a copy cf a self explanatory letter dated July 31, 1952, recetved by this Bureau from Wr. Benedicto Romero, 1647 Park Avenue, New York City, relating to the captioned matter. Mr. Romero's letter has been acknowledged and he has been informed that a copy of his letter has been furnished to your o/fice for appropriate attention. WNo further action is contenplated in this matter by this Bureau. accondee Mig 15 1888 a fs. ft. - ~ - 7 __ TM amy _ - Bureau files fail to reflect,anybe identi fied with Mr. Lomero» August #, 1952 Director of Spectal investigations the Inspector General Department of the Atr force Federal BSureau of"
2000	3000	"investigation Subject: FLYING DISKS There ta attached a copy of a selfexplanatory letter dated August 1, 1952, received by this Bureau from Mrs. Fred Haufe, 606 Walnut Avenue, Fairmont, West Virginia, relating to the captioned matter. Wre. Haufe's letter has been acknowledged and she has been informed that a copy of ker letter has been furnished to your office for appropriate attention. Ho further action te contemplated in this ers by tris Sureau., ge! See 4 wy ay it ke Eo c.. ge? Coste! bureau 8 fat to reflect any haForma bt 0 be tdent ex ueh Mrs Hau fe o Polson. Ladd = Mishois Belaont_ Clere @larin SEARCH SLIP SuperVisor J2gedd O24 -> A Se | ee 7 = ' ' } Roohes / -___Exact Spelling Searcher phe AT7ALI References Initial 4) ve Subversive Ref. Date ""A/a ____ Main File = -____ Restricted to Locality of FILE NUMBER SERTALS Initialed _~ STANDARD FORM No, 64 » Office Men igas + UNITED STATES GOVERNMENT TO > MR. R. ""santtaiel ff DATE: fugust 8, 1952 FROM: €,CF. DOWNING GND SUBJECT? "" ANONYMOUS COMMUNICATION WRITTEN A nS ra LANGUAGE RECEIVED BY ""CINCINNATI ENQUIRER"" PERTAINING TO ""FLYING SAUCERS"" SECURITY MATTER =- X Reference is made to a letter from the Cincinnati Office dated _ August 6, 1952, submitting an anonymous letter in German concerning ') \~ ri. t so-called ""Flying Saucers."" Ss Attached are 7 copies of a translation of this German material Ware nrg prepared in the Cryptanalysis--Translation Section. yn No reply has been made by us to the August 6, 1952, letter from Cincinnati. That the Domestic Intelligence Division review the Cincinnati submission and accompanying Bureau translation, for appropriate handling, noting particularly a suggestion in the last paragraph of the Cincinnati letter to consider making this information available to other Governmental Agencies. act) > 2 62-8389), si TWN: jen \"" 'Attachment Bo Crp 9 1959 JU WLI "" } iin | i f 3 Ser 'D $e % LABORATORY OIVis F'ly:1..ng ~aucer, a weapon teoted in 19h4 whieh 1a probably now being produced 1n aerie-, and at thia tiae causes a grat stir, ia av-weapon 1'bich has a round body a1lllilar to a disk haYinu a diameter of about 48-$0 m. On the outer ring it has about li5-SO aut.Qalatic circular noseles which after the ignition of tho disk circulate around a plexiglasa:;phere 1:n the cent.er in which. the ea'suri.ng and controllin1 dov:tces!or long-distance steering aro located. In the opbere is still sufficient apace for atom bombs. llhase weapons are in Thlaeian hands and can haw an e.ffect1ve range ot ~.3S,OOO km. ffio conatruotor ot v-weapona FJEDEL 1n German7 atated that it concerns - typical v-weapon on which ho hlld worked"
3000	4000	"b111u1elf. I am aure t.hat tbe truth ie better than a pamc among isnoran t people. 'H. SCH. OPIES DESTROVE D.7 O NOV 19 Hl64 AND FIELD OFFICES ADVISED BY 7) Gy | SLIP(S) OF DATE aN ek a iere An (Gallo relati ve ati oi heen ae i. Mossburg, Room 3708 oo A, = VE aa Se | vias. i bee fy PECARDED - 162 / NEE 4 €€ $12 ay غاغاغامة -- #UISAS sp $0193 44); SII ROA Rr Ars TOT: a eet oe eg = Piao 4 whee t Ys + Ts - Director, FBI SAC, San Diego (100-8565) BORDERLAND SCIENCES, RESEARCH ASSOCIATES San Diego, California; MEAD LAYNE - Directors; MAX FREEDOM LONG - Director Reference is made to San Diego letter dated 8-5-52 concerning the captioned matter. For the additional information of the Bureau, there is being transmitted herewith one copy each of the following which were made available to me by FRANCIS OHM, who is a member of the captioned orgarizations le Mimeographed letter consisting of four pages addressed to His Excellency, The President of the United States. Mimcographed announcement consisting of three pages entitled ""For Information of the Public - and the Sake of the Record - A Synopsis of Important Data"". ROT RECORDED l472EP 8 1952 August 22, 1952 ECORDED Route 8 Jackson, Minnesota Ep - 88. WepER:! Dear Mr. Hof fmeyer: EX. - 73 Your letter postmarked August 15, 1952, together with enclosure, has been received, and I want to thank you for bringing this matter to my attentton. Inasmuch ag the contents of your communi-~ cation do not reflect any violation within the jurisdiction of this Bureau, I am unable to comply with your request. t am taking the liberty of forwarding a copy of your letter and your ortginal enclosure to the Director of Special Investigations, The Inspector 'eneral, Department of the Air Force, The Pentagon, Vashington 25, De C., since these matters may be of interest to that agency. Copy of tncoming to Dept. of Ar force. NOTE: In view of correspondend 's) Ma fag ence to light"" circling their farn, his letter wearer is to the UsS.2Air Force brandi thte rested, in matters o. Correspondent 's enclosure was q Sample of what appeared shredded thin strips of tinm-feitd-. 1G. Hd 6S S22 9M 39119AF-30 1d3a0 S fi WOM WeAe gAtT 72 agiusnr ay 143 $f iG, WEEE ZI bt oy sgnor un TRUE COPY Jackson Minn Aug 2, 1952 J. Edgar Hoover Federal bureau of Investigation, Washington, D. Ce Dear Mr Hoovers I don't know if you analyze articles so will send you a sample of (something that looks like tinsel) because my uncle found it tn a"
4000	5000	"pasture in a round pile, underneath of it, tt looks as tho the clover was burned, & there are 3 similar patches which are burned in a triangle form. Last Sunday Morning the Netghbors Wife got up to get a drink of water & happned to see a steady white Light circling their farm, but didn't pay any attention to it. Than Sunday morn. when my uncle went to get the cows, he saw this stuff shining in the Sun light. It couldn't of been dropped out of a plane as it was loose & not in a container & the nearest road is about a # mile from the pasture & now we are wondering what it is. So would ltke to have you analyze it & let me know. Stnceerely yours, /s/ Wm Hof fmeyer RfOROf.D - 126 August 20, 1952 }NU°'f.0 -126 1 Jlr. John E.~ ang 1413 ~outh Vermont Los Angeles 6, California DtJar fr. Lang: Your letter oj August 12, 1952, has been received and I want ~ou to know that I appreciate the tnterest prompttng 1/0U to bring you r observattona to my attention. Inasmuch as the matter to which you refer is of interest to the United States Air Force authortttes, I am taking the libert1/ of ~aktng a copy oj your communication available to The Honorable, The Secretar y of t;he Atr Force, The Pentagon, Washtn oton 25, D. C. Di rec ·tor LH:gr:bkh J)A, 6 Ca] ifornic. J..,_,_ ust I2th T~..! ~. Hoovsr La.et sunday rcy wife an.l I attented a, 1ovei nl.) pict'L!.re.here they showed tt4 Fl!' i!l. Ee.ucer.;i,it look 3d like El. S!)Ot of li.:;ht It ~ave rre the i rupr ea ion that there rni ht be a plsne up in the aky r:i th a spot light er serch li..,ht that ie send down fron: the plane and ~hen our plan es rrak.e en affcrt t o ~o up thers to find them they turn off the licht and there for we feel that they have nade a fc..et ~etaway ""..l!) into the sky at a very fast speed thia. lane t:.Oee back to its air field or to another plcce end fool the publ ic I f our plane on i ts ·:tay up to. find this plane ·o... ld,_o up i th all the li hte turn3d off and et&y f~rr a,ay and t~. to come over tte tcp c f this plane they would be able to catch it b'.1t they sho-:.1.ld r:e rrepaired tc ahoot it out if needed I think in order to prove + i1- Idic. we shondd send one of cur o ~n pl ane up and have them a~nd"
5000	6000	"down e spot light or aerch li(3ht to fintl out if this ia not true if this is cf any help it,1111 1,ake rre happy I dont thi hk I am very Off Sine a rely Jchn E. I~an It--; ~o. V rrr.ont Led ln_elee 6 Ca.li!~crnic:. - 311 ·- 5 \; 'rector, FBI SAC, San Diego BORDERLAND SCIENCES, RESEARCH ASSOCIATES San Diego, Californias; MEAD LAYNE, Director}; MAX FREEDOM LONG, Director In' Wwiew of the current hysteria concerning the so-called ""flying saucers"", I thought that the Bureau might be interested in the following information concerning the captioned organization. I am transmitting herewith certain literature concerning the captioned organization which was furnished to me by FRANCIS OHM, who operates the Businessmens Assurance Company in San Diego and who has his office in the same building housing the FBI office, It is of interest to note that on Friday, August Ij 1952, at approximately 12:00'noon, FRANCIS OHM asked to se@ me urgently, which I did. As a member of the captioned organization, he advised me that they were having a meeting ae at 1:00 PM the same day, inasmuch as they had been advised)"" that they had some very important information to discuss. oe He went on to relate that through the means utilized by hi organization (which the enclosed literature will reflect borders on the occult), they were able to prognosticate well in advance the recent earthquake which occurred in Tehachapi, California. He advised thet they have also been able to obtain the following information: 1. That a very severe tidal wave will hit the Pacific Ocean sometime in the not too remote future and that most of the Japanese Islands will be washed away md disappear. ee That all fishes with scales in Japanese waters will soon leave these waters for other destinations, in view of the oncoming tidal wave. 3. That this tidal wave will wash away the Hawaiian Islands. lh. Theat the West Coast of the United States will likewise be affected by this tidal wave. 5S. That they prognosticated the appearance of a new island in the Pacific which was published in the newspapers within the past week. __S¥Stha --mors RECORDED Direcotr, FBI 8-5-52 Ref BORDERLAND SCIENCES, RESEARCH ASSOCIATES San Di ego, California; MEAD LAYNE, Director; MAX FREEDOM LONG, Director 6. That the flyin g saucer s are not fantasies; that they are fac tual and actual; that his associates in the captioned organization have been i n conversatio n with the men operati ng the f lyin g sauce rs, end that they have asked t hat high officials of the u. s. Government be informed t hat they are here on our planet on a"
6000	7000	"peaceful mlssio n and that they are not on a warlike mlssion. However, if the u. s. Government continues to send planes after these flyin g saucers and if these planes fire on the flying saucers, they have disintegrators which they will utilize and which will disinte grate these plm. es completely in no time n at. Mr. OHM requested that either I myself atten d the meetin g at lrOO PM or that I designate a steno grapher to attend the meeting, so that she could take down all the minutes of the meeting. I tol d him that unfortunately this was very short noti ce, that I had another commitment and that our stenographers were pretty well occupied at that time. He sald he would advise me of anythin g important that might transpire at the meetin g. As of August 2, 19.52, he has not advised me of anything which transpired at the meeting. I should like to point out that OHM appears to be a perfectly sane, sound i ndividual; he operates a very l arge i nsurance business in San Diego, and is convinced in his o-wn mlnd of the efficacy of this organl zation. No investi gation is being conducted concerning this matter and I do not contemp l ate atte nding any meetin gs of this organi zation. August 25, 1952 Mre Co SeChoinskt Koshkonong, Missouri? Dear Mr. Chotnskis Your letter dated August 14, 1952, has been recetved, and J want to thank you for affording me the benefit of your observations. Inasmuch as the matter to which you refer is of interest to another governmental ayency, I am taking the liberty of forwarding a@ copy of your commanication to the Director of Special Investigations, fhe Inspector General, Department of the Air Foree, fhe Pentagon, Washington 25, De Cz sineerely yours, Copy of incoming sent to the Director of Special Investigations, the Inspector General, Department of the Air Force, by form letter. SIILSAT a0 ddd so L@ 4 G3Ai43249 (4. ad tS 6p om STANDARD FORM NO, 64 & e Office Memorandum ¢ UNITED STATES GOVERNMENT "" A TO: Mre Ae He aglmade f DATE: August 22, 1952 FROM i Mre We Ae Branigan } fry é fy Tolson | 7 Clegg po y SUBJECT: #* LYING DISCS ( Glavin \): or Nichols J Hosen: Tracy PURPOSE: iar Ba lmont Mohr To recommend existing tnstructions to the field Tele. Room re flying discs be called to the attention of the a Jt €lde Gandy A review of communications received from the Jteld indicates they are not observing existing tnstructions contained in Bureau Bulletin #57, paragraph D, dated 10/1/47, and SAC Letter #38, dated"
7000	8000	"3/25/49, to refer details of complaints regarding jJilying saucers to OSI locally. It ts recommended the attached SAC Letter be tssued. STANDARD FORM NO, 64 * © Office Memorandum + unrrep states GOVERNMENT TO: Ae H. BEnyout DATE:~ August 18, 1952 FROM: W. A. anay Payee PURPOSE 3 To advise all Supervisors engaged on night duty of instructions concerning the referral of flying dise information to OSI. Captain William Deegan, OSI, 4th Air Force Bases, Bowling Field, has requested that any tinformatton concerning the sighting of flying discs (saucers, etc. ) be telephonically furnished immediately to his office, day or night, by dialling Code 1261, and asking for Extension 509, Captain Deegan advised the Air Force ta greatly concerned about the captioned matter, and would appreciate the Bureau's cooperation in immediately advising of details received concerning such complaints. It ts recommended a copy of this nexorendur be filed in the night and week-end Supervisor! s book \tn your office for their information. kl rg \ * (c) ""FLYING DISCS -- Reference is made to Bureau Bulletin #57, ' Paragraph D, dated October 1, 1947, and SAC Letter;438, dated March 25, 1949, in the captioned matter, It is noted that some Bureau field offices are not furnishing to OSI locally complaints regarding flying discs, pursuant to existing Bureau instructions, Upon receipt of information by your office relating to the sighting of a flying disc, you should endeavor to determine from the complainant details of the type referred to in the Air Force memorandum, which was furnished to your office as an enclosure to SAC Letter #38. The information should then be promptly furnished to OSI locally by your office, As you are aware, the investigation of so-called flying discs is the responsibility of the Department of the Air Force, aq oe yt eo ie A, 4404 rd 2 e 'al -_-_-<- NoT RECORDED QQ SEP © 1952 . STAMSARD FORM NO. 64 ae * iy 7 = Office Mem, wd + UNITED SYATES GOVERNMENT TO 380: «=o, HARBO [\& parE: August 29, 1952 FROM: D. Ja PARSON, SUBJECT: ONIDENTIFIED FLYING ORJECTS ALLEGEDLY CITED BY MR. D. SMDESVERGERS, WEST PALM BEACH, FLORIDA By letter of August 26, 1952, the Air Force requested that we examine the cap of Mr. Desvergers, a scoutmaster at West Palm Beach, Florida, who claims that he observed a unidentified flying object tn a desolate area, He report (3 tainly PA that upon his investigation, a MB object 30 feet in diam ter hovered over his head and shot a ""red blob"" which causedrhin@to / lose consciousness. The cap has some holes burned in tt and it / is reported that the hair on Desvergers' arms was singed."
8000	9000	"The Air Force requested that we determine, tf possible, from any residues left the nature of the residual material. The Air Force desires an oral report on this tonight. We have finished the eramination and are preparing to advise the Air Force as follows: l. There is no residue which would permit a determination as to the nature of the material which caused the burns in the cap. In addition to the obvious burns, there is one minute burned area which is probably too small to have been caused intentionally but more likely by a small hot ember, 2. The bill and a large part of the edges of the cap are singed but the singeing is not uniform as would be erpected if it had been caused at one time by a single flash of flame. The front edge of the cap bill is more severely singed than other portions of the cap. This condition would not be expected if the source of the flame was directly overhead. 3. When the cap is observed from the front,the left edge of the insignia and the fold in the blue cloth, there is an absence of singeing noted under the fold suggesting the possibility that the cap was not being worn when the singeing took place, It is noted that this fold ""smooths out"" when the cap is. placed on the head, RECOMMENDATION: That in response to the request, of Colonel Free of the Air Force, tt is recommended that he be 'orally advised of the above. | Zen ££? Biting © ""= ee a4 son' september ll, 1952 \26 RECON ""49 3 oe Mr, Rog tlwell Roadstown, New Jersey Dear Urs» Elwell: Your letter postmarked September 6, 1952, has been received, and I appreciate the interest prompting you to let me have the benefit of your observations. Since the contents of your communication may be of interest. to other governmental agencies, I am taking the liberty of forwarding copies of it to the Administrator of Civtl Aeronautics, Civil Aeronautics Administration, Department of Commerce, Washington, De Cry and to The Honorable, The Secretary of Defense, The Pentagon, Washington, D. C John dgar Hoover, irector Piso by form sent to Civil Aeronautics Administration s=Copy by form sent to Secretary of Defense DICsimz.,, ay seni ye yey ie at VETO i pag 70 79 WA wr Hy if ror -: By peoye ywurrgy ay b 13/7"" tying 04 B capa 6 arr Viet ( 6 « Ly ope i Oi ""4d ae eaprey ppt hi SE idan aa ry Paneer ee ie Se! ten Ay ""Wor fai | Dh Yowy | laataoty? MyObeD a 7 nema? Bees Wy) é MR JONES ''E\VED rH"
9000	10000	"+ DEPT iF IUSTICE Us c fe ONE aii ranger V9 aw yIL4 St gee Sa ae ol saul 2 ae 7p ee OS ith oe g ""a ee TLIAMNY it a gta i rare TMy Y od ay vi oo a 4, 4 tt he yn ae vO yrs A ight uy * op d Po idee iy nym oi S ie ay - Pape si oo Aa ital ) ae 20) | von rt 0 eat A, ook og prow, ren Gp wry Mi bhd) >. =e use Prtolvgs wolev pig te aye Li pre ay Hae AO ee oe CON aealgeaae y mney Biri. eae calle Ce sihiaiogs (VON ""Y be a Y yan yO _ YY ery pry mya avo] (V2 pr: (M491 | % 2 a ae yew pofoy OB hl ro yep He UY 77-0 he. ss Morfger ti ee ae negating: a eek a aes i ""4 i es errr fi salah an wy) <2 oh cic 8 Ie ad peer oe - lt 6 (77 PY -TMiu qu Dy ""yy wy ""HS ors ae ane ""0 2AA vay BS cas sso LV ere ahi j se MO SPY ""TY al = 7) a rn, aA he i hee Lo Y9~ prin wx peer TE a AMM ie ae gE ie OVVOU. he ag ms | W a ""et CHO \ ace iy Aimy tse p a ay | 4 Pi yes PE ITD Ie pot cap ny 7) QNG pre rp yoru 'pet sala ye As y? anit po ""a yb ""ye ie ae ro War 4A UW2°T i Yr ""YU ""so erik =~ ae a dle ed bh al ' MUOUE » ee 4 ae voy OS Miki 1 ) ""f Tey Way wy a in Slat sae Oe Mitty re ed asia roll Bitte AVA © Cr SO a dt 4, NYT. ' ZA 4 - Tua m""/ } / nf Ee be 7) hs 3 Eris a 4 Tye. ve ar ""y ea ""6 ) / غا oy ie, HY rp A wey ov] Sens! Sd ik ia 46 af oo pee ory (oy Yo49 ) atege of V4 ra? ot * ea AVAL sr BY er rp): rely SUV py WZ) MS, gs a nite a i aayench -y- Y= In te a witty ety "".. (f £) 7) oh cg Lp; ee Ye acted yng prtnet~ ""VP RS as oF (Ai WOO VU 97 wy /} « nies >- Dp La pry acs tape ye PIU an WVeOeTUY Sl fo 074 UD IIT abe WV of dima ""MF =r Yer pei y emmy a! Bie ope sail ee Fe OO fone is 5 AL. y VUIVW Pe,"
