start	end	text
0	1000	"FBI - CENTRAL RECORDS CENTER HQ - HEADQUARTERS Class / Case # Sub Vol. 0062 83894 WU ONQN 3xGo Declassification authority derived from FBI Automatic Declassification Guide, issued May 24, 2007. STANDARD FORM No. 64 Office Men € dum ¢ UNITED _ GOVERNMENT TO +: DIRECTOR, FBI DATE: 11-14-57 | a rromt' |4)\ SAC, Dallas (62-1311) \ | i INFORMATION CONCERNING Re Kansas City letter 11-8-57. This matter is being referred to OSI without investigation and no other action is being taken in accordance with existing instructions. 2 Bureau 1 Kansas City (66-2995) 1 Dallas MCC: FB Office Me * dum ¢ UNITED: ¢ GOVERNMENT 'TO: Director, FBI DATE: November 20, 1957 Legal Attache, Havana, Cuba FOREIGN MISCELLANEOUS The following information is submitted as of interest to the Bureau in the event reports of flying discs are still desired. ' A tovenant The Havana daily newspaper ""Diario agit Marina"" November 12, 1957, carried a dispatch datelixed November 11; 1987, at Pinar del Rio, Cuba, reporting that JOSE.MARIASNIETO and CARMELO/QUZMAN, who had just arrived in that town from the Matahambre Mines in Pinar del Rio Province, claimed that they had seen a flying disc in the shape of a man's hat hovering over the general area of Matahambre for several ~ minutes. They claimed that this disc was larger than ordinary airpla normally seen in that area and that it was completely silent in its flight. They said that it disappeared at a very high speed towards the sea. There was no further descriptive information furnished in this newspaper article. It is noted that Matahambre is located approximately 90 miles to the west of Havana. No other reports corroborating the above were received and no inquiry has been made by this office. conte 9 4 | Office Mem ©?: fice C172. UM + UNITED STATES GOVERNMENT TO: MP. As H. BELMONT Tali DATE: November l@, 1957 MR. R. R. ROACH | a mont UNIDENTIFIED FLYING OBJECTS hho Rosen -__ {FLYING SAUCERS) nsammaneed ad ier Tele. Room - Holloman -_ Ever since the Russians released ""Sputnik"" there Gants has been a great increase in the number of ""flying saucers"" and other unidentified flying objects (UFO) reportedly seen by | / people all over the U. Se On October 10, 1957, the Air Force was flooded with calls and the newspapers were full of reports that an unknown object described as ""looked like the moon"" and trailing a ""blue flame that pulsed like a heart"" had landed in the vicinity of Vernal, Utah. The Air Force tmmediately investigated these reports with negative results, inasmuch as no object was located nor was there any evidence of an object | having fallen in Utah. Within"
1000	2000	"the past two weeks reports tn these cases have tncreased tremendously and some of the more sertous have been described as follows: An object had landed in Nebraska with siz Su people aboard, the persons had talked to a Nebraska farmer and Dee then sped off into space; a firey object was seen flashing across 2% the southern skies from Albany, Georgia, to Miami, Florida; a Coast Se Guard cutter had sighted a huge object flying over the Gulf o/ Se Merico, and persons in the Southwestern states while driving their Be) cars have allegedly seen UFO's that caused the engines in their | automobiles to stop. In view of the number of these reports, the -) Bureau's Liaison Representative discussed these various sightings ) with officials of Atr Force [Intel ligence and was advised that all \ the cases mentioned above have for all practical purposes been resolued as being nonauthentic or there was no basis for the WSightings. Investigating details that the Air Force had out in the S) field tnuestigating these matters have not submitted their complete sted rts but have advised that they are all more or less negative. \ The Air Force is following these sightings closely and all reports ""are submitted to the Air Technical and Intelligence Center, at eh Wright-Patterson Air Force Base in Ohio where they are evaluated and analyzed. in the event any of the future reports appear to / ey be authentic, the Air Force will tmmediately notify the Bureau, ~ ""keeping in mind our particular interest in matters concerning espionage and sabotage. غا VTWs 71k 7 (7 i - Es, cue KEGURDED - 94 py T= Ur. Baumgardner | f =? 1] = Wr. Whitson Dee 4hovied ie"" MEMO ROACH TO BELMONT RE: UNIDENTIFIED FLYING OBJECTS (FLYING SAUCERS) ACTION? l « Ghee January 23, 1958 Director of Special Investigations The Inspector Ceneral Building Tempo Ff 4th and Adams Drive, S. ¥. From: John Zagar Hoover, Director Subject: ROBERT T, STONE; INTER CONTINENTAL AER TAL RESEARCH FOUNDATION MISCELLANEOUS = INFORMATION CONCERNING On December 20, 1957, Mr. &. B&B, Watson, City Mitor, Hannibal Courier=Post, Hannibal, Missouri, advised an agent of this Bureau at Hanni bai that ke was in receipt of an undated letter signed by & TT. Stone. This letter bears the letterhead ""Inter-Continental Aerial Research Foundation"" and in the upper right corner there is typed ""MISSOURT FILTH CENTER, Hobert 7. Stone, Lirector, 10717 B. 27th Terre, Independence, Missouri."" The letter furnished by Ur. Watson is as follows; ""Dear Zditor: ""The enclosed notice is self-explanatory. We would Jike to request this public service in the name of Truth, which the newspapers of cur great countries so proudly defend and uphold,"
2000	3000	"Newle LL = Kansas Clty NOTE POR SAC, KANSAS CITY: Re St. Louis letter Boardman 1/6/50. Advise,pureau results of your indices i a |) 7) check but conductiho investigation. Parsons ESS: amr. } aod Tamm -_ (7) L = 8 'otter ' I \\.A se \) Roof = Boe Wd ""EZ! La nT Qh WS Sa Director of Special Investtgattons ""As a ctvi l tan body of tnvesttgators > 1De hope to unravel the snarled uss that shrouds the U.F. O. question, and wit h the help of the newspapers and the publtc, where can we fatJ? #lfe will be gratefu l tf you rDill publish the enclosed appeal on the front page of your neUJSpaper, tn a conspicuous enough,aanner that no one will fall to nottce tt. It Is t he public 1De must depend upon to get thoroughly organt6ed, and with thtco-operation we are certain that we can find the ansrHr to the rtddl - of the 'Flytng Saucers.' -rt a f'tJter Center has been established tn your state or province, this form letter will carry its address whtch should repJacthe h~adquarters address given on the enclosed 'Publtc Nott ce.' If no such Jilter center address ts gtven, then the original headquarters address should be used. #We wtsh to thank you for any asststance you nay be able to gtve us tn this respect. Later established ftlter center addresses will be sent to you for publtc attention tn the event oJ unusual sighttngs, that may come to your att~ntton. ""Respt!ctful 1y, Is/ z.;. T. STONE. ""For the Inter Continental Aerfal Research Poundatton-; At tached to the Jett-r was the nottce which it was r-guested be published. Thta notice ts as follows: -rnter Contfn-ntal Attrial 'Res11arch Foundation ""NOTICE! -To Al1 Cono11rn,d1 -rt anyone has ---n any untd-nttfled flytng obJects -­ lnoum also as flying sauc-rs- -or kno1DB a.nyonwho has se-n them stnce January 1st, 1957., plttase contact ua,..,11dtate1v, giving full naaes and addr-ss-s of the witnesses to theestghttngs. ""Wtt are tn the process of --tttng 1.4P UFO 6bs-rv11r Posts all ov11r th11 llh1ted.States, Canada, Europ-, Alaska, AustraJta, Japan, England, A,frtca, and South.America. And,a.ch state, provtnce or r-gton wtll havtt tts own ftltt1r cent11r whtch wtll st1rv11 as a r11c11tvtng station for all UFO r11ports and other assoc tatttd data, a dtstrtbuttonpotnt /or 111aterta1 f ~oheadguartttrs, and as a gttneral secretary f or ICARP. -Our Jlltttr-obs-rver n.rtrrorll ts.rzpandtng by lt1aps and bounds, but Wtl artt attll far fro■ our goal. -n- Atr Forctt tnvesttgatton has -tthttr gontt underground, or -lsthey haN the answttr and are hiding the fact from the public. 1:hfact reJUJtns that millions o.f pt1ople conttnuto --e th--- UFOs and the publtc still doesn ' t know ~hat"
3000	4000	"they ar-. -rt ts ourpurpos11 tn organtztng ICA to ftnd thans~er to th11 UFO myst11ry, and gfvthe facts to th11 publtc. And tn order to do this ~e ~tlJ n--d the asststance of every person concerned. Persons wtth movie and still ca■eras are parttcularly needed, for the -lfPhasta ts on p1iotogrC11Jhtc data, d--p tte the fact that stghttnga wtth binoculars and t-lescopes, sound detector and haa radto atatt ons are also v-ry tl'lportant tn the process of our rt1s11arch. Director of Spectal Inveatigattons ""All persons tnter-st-d fn setting up obs-r v6r posts who can devotfroone to three hours a day on sky,,,atch, and who can be relied upon to have thetr ca-""ras load-d and ready to phctograph th11st1 objects should,_edtately contact us for full tnforaation. Adult Sky,oatch clubs, htgh school groups, science clubs~ Industrial groups,and individuals tn general are all particularly asked to Join us tn our search for the ansu,er to the Ul'Os. ""Contact us at the address. above. ' ""INTER CONTINENPAL AERIAL RESEARCH FOUNDM',ZON Also attached was a three inch by ftve inch plain card u,tth thtt handu,rtttng ""Please confirpublication or return for-s with reason for refusal. Thank you."" Signed ""lltssourt Filter Center/ I CARF. - Hr. lfatson stated that this is a peculiar request and therefore he u,as bringing tt to the attention of th- Pederal Bureau of Invt1stt!]ation as he questioned the MOttve$ behind thts organization 's purpose. No further action tn this J1atter ts cont--Jated by thts Bureau. Should additional informtton be rec-tved, however, it 11JtlZ be /on,,a,rded pro,rptly to you. 1'lul /llt1- of thts Bur~au contain no tn,formatlon identtftabJ~ wtth lioNrt 1.'. St one or t1ut Inter Conttnsntal /u1rtal li-s-arch Foundation. - 4 - 3 STANDARD FORM NO, 64 Ofc a"" ae * UNITED: «S$ GOVERNMENT (2)- BUREAU (ENC RECORD.» &3 'S - KANSAS CITY DIRECTOR, FBI paTE: 1/6/58 NFORMATION CONCERNING Mr. B. EX watson, City Editor, Hannibal Courier-Post, Hannibat, Missouri, on 12/20/57 advised the""Resident Agent at Hannibal that he was in receipt of an undated letter signed R, T,. STONE. This letter bears the letterhead Inter-Continental Aerial Research Foundation arti/jin the upper right corner there is typed the following AWISSOURT FILTER CENTER, Robert T. Stone, Director, 10717 27th Terr., Independence, Missouri"", Below this Tn pencil is a notation made by Mr. WATSON which is ""Air Defense Identification Zoning."" The letter is as follows: ""Dear Editor: ""The enclosed notice is self-explanatory. We would like to request this public service in the name of Truth, which the newspapers of our great countries so proudly defend and uphold, ""As a civilian body of investigators, we hope to unravel the snarled mess that shrouds the U.F.0O, question, and with the help of the newspapers and the public,"
4000	5000	"where can we fail? ""We will be grateful if you will publish the enclosed appeal on the front page of your newspaper, in a conspicuous enough manner that no one will fail to notice it. It is the public we must depend upon to get thoroughly organized, and with this co-operation we are certain that we can find the answer to the riddle of the ""Flying Saucers."" ""Tf a filter center has been established in your State or province, this form letter will carry its address which should replace the Headquarters address given on the enclosed ""Public Notice."" If no wep PU Z BE"" 1 = ST, LOUIS, (62-0) JAD: njj IND ta) (5) ia y if o SL 62-0 filter center address is given, then the original headquarters address should be used. ""We wish to thank you for any assistance you may be able to give us in this respect. Later established filter center addresses will be sent to you for public attention..in the event of unusual sightings, Chat may come to your attention, ""Respectfully, /3/ R. T. STONE ""For the Inter' Continental Aerial Research Foundation"" Attached to this letter is the notice. it was requested 406 be published, This notice is as follows: ""Tnter Continental Aerial Research Foundation ""NOTICE! ""To All Concerned: ""Tf anyone has seen any unidentified flying objects-known also as flying saucers--or knows anyone who has seen them since January 1st, 1957, please contact us immediately, giving full names and addresses of the witnesses to these sightings. ""We are in the process of setting up UFO Observer Posts all over the United States, Canada, Europe, Alaska, Australia, Japan, England, Africa, and South America, And each state, province or region will have its own filter center which will serve as a receiving station for all UFO reports and other associated data, a distribution point for material from headquarters, and as a general secretary for ICARF. ""Our filter-observer network is expanding by leaps and bounds, but we are still far, from our goal, ""The Air Force investigation has either gone underground, or else they have the answer and are hiding the fact from SL 62-0 the public. The fact remains that millions of people continue to see these UFOs and the public still doesn ' t know what they are. ""It is our purpose in organizing ICARF to find the answer to the UFO mystery, and give the facts to the public. And in order to do this we will need the assistance of every person concerned. Persons with movie and still cameras are particularly needed, for the emphasis is on photographic data, despite the fact that sightings with binoculars and telescopes, sound detector and ham radio stations"
5000	6000	"are also very important in the process of our research. ""All persons interested in setting up observer posts who can devote from one to three hours · a day on skywatch, and who can be relied upon to have their cameras loaded and ready tophotogfaph these objects should immediately contact us for full information. Adult Skywatch clubs, high school groups, science clubs, industrial groups and individuals in general are all particularly asked to join us in our search for the answer to the UFOs. ""Contact us at the address above. "" ""INTER CONTINENTAL AERIAL RESEARCH FOUNDATION"" ""FORM OP-211 Also attached~ a 3 in. by 5 in. plain card with the handwriting ""Please confirm publication or return forms with reason for refusal. Thank you. "" Signed ""Missouri Filter Center; ICARF"". Mr. WATSON stated that this is a peculiar request and therefore he was bringing it to the attention of the FBI as he questioned the motives behind this organization ' s purpose. The original letters are being submitted to the Director. Kansas City Div~sion is requested to check its indices on ROBERT T. STONE and the Inter Continental Aerial Research Foundation, and conduct such inquiry as it deems appropriate. Inasmuch as there is no further investigation, in the St. Louis area, Kansas City is being considered the Office of Origin. - RUC - ENCLOSURE TO BUREAU From ST, LOUIS: (3): a) yee THPORMATION CONCERNING Peretter from Inter Continental Aeriae y*Research Foundation 1'3 x 5 card | 1 newspaper notice. IF ANYONE HAS SEEN ANY UNIDENTIFIED FLYING OBJECTS-- KNOWN ALSO AS FLYING SAUCERS--OR KNOWS ANYONE WHO HAS SEEN THEM SI NOE JANUARY IST, t 957, PLEASE CONTACT US IMMEDIATELY, GI VING FULL NAMES AND ADDRESSES OF THE WITNESSES TO THESE SIGHTINGS- WE ARE IN THE PROCESS OF SETT! NG UP UfO OBSERV·ER PosTS ALL OVER THE UNI TED STATES, CANADA, EUROPE, ALASKA, AUSTRALIA, JAPAN, ENGLAND, AFRI CA, AND SOUTH AMERICA. ANO EACH STATE, PROVINCE OR REG ION WILL HAVE ITS OWN FI LTER CENTER WHICH WI LL SERVE AS A RECEI VING STATION FOR ALL UFO REPORTS ANO OTHER ASSOCIATED DATA, A DISTRIBUTION POINT FOR MATERIAL FROM HEAO­ QUARTERS, AND AS A GENERAL SECRETARY f OR ICARf, OUR FILTER- OBSERVER NETWORK IS EXPANDING BY LEAPS AND BOUNDS, BUT WE ARE STILL FAR FROM OUR GOAL. HE AIR fORCE tNVESTIGATION HAS EITHER GONE UNDERGROUND, OR ELSE THEY HAVE THE ANSWER AND ARE HIDI NG THE FACT FROM THE PUBLI C. THE FACT REMA INS THAT MILL IONS OF PEOPLE CONTINUE TO SEE THESE UfOs ANO THE PUBLIC STILL OOESN T KNOW WHAT THEY ARE. - IT IS OUR PURPOSE IN ORGANIZING ICARf TO FIND THE ANSWER TO THE UFO MYSTERY, AND GIVE THE"
6000	7000	"FACTS TO THE PUBLI C. ANO IN ORDER TO DO THIS WE WI LL NEED THE ASS ISTANCE OF EVERY PERSON CONCERNED- PERSONS WITH MO VI E ANO ST I LL CAMERAS ARE PARTICULARLY NEEDED, FOR THE EMPHASIS IS ON PHOTOGRAPH IC DATA, DESPI TE THE FACT THAT SI GHTINGS WITH BINOCULARS ANO TELESCOPES, SOUNO DETECTOR ANO HAM RAD IO STAT IONS ARE ALSO VERY IMPORTANT I N THE PROCESS OF OUR RESEARCH- ALL PERSONS INTERESTED IN SETTING UP OBSERVER POSTS WHO CAN DEVO TE FROM ONE TO THREE HO URS A DAY ON SIO'WATCH, AND WHO CAN BE RELI ED UPON TO HAVE THEIR CAMERAS LOADED ANO READY TO PHOTOGRAPH THESE OBJECTS SHOULD IW.UEDIATELY CONTACT US FOR FULL INFORMATION. ADULT SKYWATCH CLUBS, HIGH SCHOOL GROUPS, SCIENCE CLUBS, INDUSTRIAL GROUPS, AND (ND I VfDUALS 1N GENERAL ARE ALL PARTICULARLY ASKED TO JOIN US IN OUR SEARCH OR THE A~SWER TO THE UfOs. CONTACT US AT THE ADDRESS ABOVE. INTER CONTINENTAL AERIAL RESEARCH -~-~e-co~1r1~1:~1r A\L --,.s r·:-:.i F""rLT.w:t CE ~../1 A~l?IIA\L '1obort ':;. Stone, n··rector l2~i~A\l~1Cli 10717 l. 27t~ ':;err. - t=OU~UA TIION InCependorce, ·~sFour~ THE ENCLOSED NOTICE IS SELF-EXPLANATORYe WE WOULD LIKE TO REQUEST THIS PUBLIC SERVICE IN THE NAME OF TRUTH, WHICH THE NEWSPAPERS OF OUR GREAT COUNTRIES SO PROUDLY DEFEND ANO UPHOLD. As A CIVILIAN BODY OF INVESTIGATORS, Wt HOPE TO UNRAVEL THE SNARLED MESS THAT SHROUDS THE u.f.o. QUESTION, ANO WITH THE HELP OF THE NEWSPAPERS AND THE PUBLIC, WHERE CAN WE FAIL? WE WILL BE GRATEFUL IF YOU wi LL PUBLISH THE ENCLOSED APPEAL ON THE FRONT PAGE OF YOUR NEWSPAPER, IN A OONSPIOUOUS ENOUGH MANNER THAT NO ONE WILL FAIL TO NOTICE ITt IT JS THE PUBLIO WE MUST DEPEND UFON TO GET THOROUGHLY ORGANIZED, ANO WITH TH IS co~oPERATION WE ARE CERTAIN THAT WE CAN FINO THE ANSWER TO THE RIDDLE OF THE -fLYING SAUOERS. IF A FILTER CENTER HAS BEEN £STABLISHEO IN YOUR STATE OR PROVINCE- THIS FORM LETTER WILL CARRY ITS ADDRESS WHICH SHOULD REPLACE THE H-EADQUARTERS ADDRESS GIVEN ON THE ENOLOS£D -PUBLIC NOTICE-- f F NO SUCH FILTER CENTER ADDRtss IS GIVEN, THEN THE ORIGINAL HEADQUARTERS ADDRESS SHOULD BE USEOe WE WISH TO THANK YOU FOR ANY ASSISTANOE YOU M~Y BE ABLE TO GfVE US JN THIS RESPECT- LATER ESTABLISHED FILTER CENTER ADDRESSES WILL BE SENT TO YOU FOR PUBLIC ATTENTION IN THE EVENT OF UNUSUAL SIGHTINGS. THAT MAY COME TO YOUR ATTENTION. R-~SPECTFULLY, ~;;~ FOR TME I NT~R CONTINENTAL AERIAL Offer = ¢ UNITED = GOVERNMENT ater, RECTOR, FBI DATE: January 30, 1958 i Oe WA KANSAS CITY (62-7386) SUBJECT: MISCELLANEOUS - INFORMATION -CONCERNING f- @ 2 t4E 4S Re St. Louis letter to Bureau 1-6-5838 and Bureau letter to"
7000	8000	"Director of Special Investigations, Department of the Air Force, dated 1-23-58, The files of the Kansas City Office contain no information identifiable with ROBERT T. STONE or the Inter--Continental Aerial Research Foundation, It should be noted that the 1957 Independence, Missouri Directory does not list ROBERT T. STONE. This directory lists TERRELL O. STONE, wife IVA, an ice cream maker at Velvet Freeze, as residing at 10717 E, 27th Street Terrace, Independence, Missouri, The files of the Kansas City Office contain nothing identifiable with TERRELL O STONE, RUC. 1 - St. Louis (62-0) (info) 1 - Kansas City (62-7386) RHA: MEJ (6 - G3.3G01 CORD bj . eanders March 17, 1956 Director of Special Investigations +the Inspector General a u --. s a Building Tempo # 4th and Adams Drive, S. W. John Bdgar Hoover, Director Subject: FLYING SAUCERS MISCELLANEOUS = INFORMATION CONCERN sail Enclosed for your information ia a copy. Lh a letter forwarded to thie Sureau by Mrs. Haro Ferguson of Zlkhart, Indiana, which is self- 'exp lanatary. No action in this Connection is contemplated by this Bureau. = 1 + Director of Naval Intelligence (inclosure) 1 = Assistant Chief of Staffs, Intel Ktgence®.fenel osure) Department of the Army Attention: Chief, Security Pivision = eae aS IMdianasolis (Enclosure) =e Z Tolsow 2 LF JiFt ¢ VTE: M, os F ¥ ':. Nichols -___** 7) (arta NOl#: 'Mrs. Ferguson relates having seen Jlying AWG a i hig al and expresses her belt ae that outer Sp acaneny ae neiws.. SS EOE e spapers and ma' Jaz'ines CHER. 'she beet aa fi r them. No Rosen -__ action' for the Bureau other than the dissemination indi cated. eC f Buy tlées neg ative 3 AT di, ra Trotter d re KErgUSON. wo réply a desirable. ""im, Bi eu, indications she is Sh Ee ee a '© is meen te] ease AT +} 2 Tele. Room y Ge AF has unit for OH ckiaig vi such reports rtm 8 Be 44 ult ARSE O58 ESPIOMACE - NAT SISA Tay a |; 4 [ fuaf. wird. whethe. thes 2+ feof avd. af kao awe LoVe. Ore tur Fate an 177+ (ane the akich+) Qir of€cheaf ie, Fhe eke of Lb 5 im Bats 7: Sp otbel er. a. hah mdying theca. bees a + from the. pughivay A pur Ams sobich eS ye Leathing off of our Atal that ww «10% Lranelong the Hirsre tml a LA abrod of ue jhawing teary Te) aw ghde. got ont om Beet. pol h Aher{ deatancr pir prin ste dud hon munch C<_. hang Alea aerae. Aa} fanny Se A MEE "" . a ' trud mn Le bed avrthout a Avr aboat Ante puatofreer"
8000	9000	"arinutio athen the Loot hg ht the shqr brohard bagh Aurhec of LLhave: px Light out thus si. thr. bach phd srbsn th. dog alarti Ar tark 2 ofened. had "" win 2} Leaf Ave proph true wartiel outed, On argh Ake stig. angel Sets Pea Aarti 20 bork butts bork s21e sliat 2th. SAD aver porgst the. aovrd of <1 Naripfaud prep mtroang Kr 22, be had run Afar CONE te Leg hi a~t_ Alf ante A ane trrLriabh foatir bef Cal 0 Le Poe OY LOG LY Orr ap ay jogo Te Py aah Fao Select ia Si lis he alll poy he Ho owrnyyry er a cpoge any 7 fo O06 G9 9 Co9g o7g¢@0 --., 000 0°09 en iy eee re mes ye nyt me (efefrmme rhe ge oe poveg ¥ Mprer eee ONE Se ee ee ey | ee 1 ""« alii. pctaBata. het ote Legge! cere The moray that f pormd the meurefenfor A pvr fprtain aod Look A Lown atrooe the wh acd te the Asnitan Aad Thess. Abn floy-rmcg pmnatin_ah Q: ho A toute me bemgin pte anacde the Avg £7 game, th tire butobtn it wie abou 2h ag me alee adi fidtinin tial ONE TR! OS PO ECLAL Fda wou Aehiinr any of at Outer apa froft. ton hin A ' - @ satires» commas tel ot coca ee 7 le qc... F OMPNEA oe ae ae ie é -<oyepiinnnaotn R 1 = Liaison 1 - SanGers Date: October 2, 1958 To: Director of Special Investigations The Inspector General Building Tempo E 4th and Adams Drive, S. W. From: John Edgar Hoover, Director Se Federal Bureau of Investigation"": ~-- Ss, Subject: DELMAINE H. OVESON Reference is made to letter dated September 22, 1958, signed by Mr. F. L. Welch, your reference 224-185-483, re ""Unidentified Flying Object, Torrington, Conn., > December 1957."" Enclosed for your information is a copy of a memorandum dated July 9, 1958, at Denver, Colorado, relating to the subject. The other Government agency referred to in the memorandum is the Office of Special Investigations, Lowry Air Force Base, Denver, Colorado, Also enclosed for your information is a copy of a memorandum dated July 3, 1958, at San Francisco, California, The representative of another Government agency referred to therein is Colonel William E, Zuerner, USAF District Commander, Travis Air Force Base, California, who furnished information concerning the subject developed by OSI, Since it appears thet the subject is a member of the Air Force, no further action in this matter is contemplated iby jbhis Bureau. lad * WOOD 'OAS HaIUNOY AS Enclosures ~ 2 i vik غاغا Tolson NOTE: This temo is classifdéd ""cohfidenttal"" inasmuch as it transmits"
9000	10000	"Boardman - letterhead memos so classified... This classification is proper Mohr ______ Since material received from-the.Canadian Government was so hectic classified and also.the information' received from Col. Zuerner Rosen ____Wa@S SO Classified. ae Tele. Room -_- (5) Gandy MAIL ROOM L_] ag, HY Se || 2 iM) eS MAG 1d30 © ac Wace g | M0 | eat VWVA-OSA! @ ROUSE - 182 "" WOWTaE 093 DEPARTMENT OF THE AIR ror HEADQUARTERS UNITED STATES AIR FORCE WASHINGTON 25,D.C wt Received from ut ad Honorable J. Edgar Hoover OSI PHF Director, Federal Bureau of Investigation United States Department of Justice Washington 25, De Ce RE: Unidentified-Flying Object, Torrington, Conn., 5 December 1957 Inclosed is a copy of a letter from a Delmaine H. Oveson, who identifies himself as Director of Operations, Electronics Service Unit 4, Roseau, Minnesota. This letter requests information concerning the reported sighting of aminconventialfAerial Object on_or about 5 December 1957 at Torrington, Connecticut. This letter was furnished the Office of Special Investigations by the Ground Observer Corps (GOC) Coordinator for the State of Connecticut. That individual has advised that an alleged sighting of bn unidentified flying object near Torrington, Connecticut, was reported on or about 5 December 1957, but that neither he nor the addressee have any knowledge of the author of the inclosed letter, Information has been received from the U. 5S. Army, and Air Force Postal Service that no military units are located at Roseau,Minnesota. Therefore, this matter is being referred to your Bureau for any action you deem appropriate. Advice if any information of interest to the Air Force is developed by your Bureau in this matter will be appreciated. ne F. L. WELCH Cy of Envelope & Assistant Chief Ltr fr Hq. Electronics Counterinteligence Div. _ service Unit hs Dir of Ssectal Tnvyectications Roseau, Minn. ~ Te The Inspecior General f fp sy ray fou f # a ad Authority: Director of Operations Electronics Zervice Unit 4 Route 2 ' Roseau, Minnesota Mr Pomonic Gerardi Torrington, Connecticut _ Headquarters & Electronics Service Unit 4 Roseau, Minnesota D/o JUL. | 9.1958 Mr Pomonic Gerardi Torrington, Connecticut It has been reported that you did, on or about December 5, 1957, sight an Unconventional Aerial Object at or near Torrington, Connecticut, at approximately 8:05 p.m., in company with friends. We respectfully request your assistance in this matter. Please describe the object, giving approximate alitude, color, shape, direction of flight if any, approximate position in sky, time, date, approximate size in comparison to any coin held at arms length and duration of sighting. Did you notice any infraction of flight safety? Subject material will be held strictly confidential. Your assistance will be immensely appreciated. Sincerely: titpmune 4 |"
